"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 18 01:47:31 GMT 2022","Tue Jan 18 01:47:32 GMT 2022","166","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testSendingEmail","Correctly filling id and time and sending email",""
"passed","Tue Jan 18 01:47:31 GMT 2022","Tue Jan 18 01:47:31 GMT 2022","146","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testGettingSent","Getting sent",""
"passed","Tue Jan 18 01:45:37 GMT 2022","Tue Jan 18 01:45:37 GMT 2022","2","","Sidebar","","Sidebar","clicking write","clicking write",""
"passed","Tue Jan 18 01:53:30 GMT 2022","Tue Jan 18 01:53:32 GMT 2022","1863","","com.example.AuthenticationTest","","com.example.AuthenticationTest","newUserLogin","Registered user can login",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","2","","EmailListItem","","EmailListItem","clicking on email","clicking on email",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","6","","EmailEditor","","EmailEditor","display correct data","display correct data",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","4","","EmailEditor","","EmailEditor","correctly sending email","correctly sending email",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","3","","LoginPage","","LoginPage","correct authentication via Sign up button","correct authentication via Sign up button",""
"passed","Tue Jan 18 01:51:13 GMT 2022","Tue Jan 18 01:51:19 GMT 2022","5699","","e2e/app.spec.js","","","","Login to non-empty mailbox",""
"passed","Tue Jan 18 01:53:29 GMT 2022","Tue Jan 18 01:53:30 GMT 2022","876","","com.example.AuthenticationTest","","com.example.AuthenticationTest","registerUnknownUser","New user could register",""
"passed","Tue Jan 18 01:46:53 GMT 2022","Tue Jan 18 01:46:55 GMT 2022","2244","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testGettingSent","Getting sent",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","1","","toInternalEmail","","toInternalEmail","return sent email","return sent email",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","0","","toInternalEmail","","toInternalEmail","return inbox email","return inbox email",""
"passed","Tue Jan 18 01:51:12 GMT 2022","Tue Jan 18 01:51:13 GMT 2022","1399","","e2e/app.spec.js","","","","Sending message for new user",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","1","","getEmailTime","","getEmailTime","return same time for different date","return same time for different date",""
"passed","Tue Jan 18 01:45:36 GMT 2022","Tue Jan 18 01:45:36 GMT 2022","4","","App","","App","selecting email","selecting email",""
"passed","Tue Jan 18 01:53:32 GMT 2022","Tue Jan 18 01:53:35 GMT 2022","2712","","com.example.PostTest","","com.example.PostTest","newUserSendsEmail","New user sends email",""
