"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 01:08:23 GMT 2022","Thu Jan 20 01:08:23 GMT 2022","3","","Main window","","Main window","successful login","successful login",""
"passed","Thu Jan 20 01:09:57 GMT 2022","Thu Jan 20 01:10:17 GMT 2022","20417","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testLoginWithWrongPassword","Login with wrong password",""
"passed","Thu Jan 20 01:10:22 GMT 2022","Thu Jan 20 01:10:24 GMT 2022","2249","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testRegistrationWithSameLogin","Registration with existing login",""
"passed","Thu Jan 20 01:10:39 GMT 2022","Thu Jan 20 01:10:39 GMT 2022","150","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testSendingEmail","Correctly filling id and time and sending email",""
"passed","Thu Jan 20 01:10:39 GMT 2022","Thu Jan 20 01:10:39 GMT 2022","9","","com.example.server.service.DBAuthenticationServiceTest","","com.example.server.service.DBAuthenticationServiceTest","testRegister","Signing up with same credentials twice",""
"passed","Thu Jan 20 01:08:23 GMT 2022","Thu Jan 20 01:08:23 GMT 2022","2","","EmailList","","EmailList","selection","selection",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","2","","LoginPage","","LoginPage","correct credentials display","correct credentials display",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","0","","getEmailTime","","getEmailTime","return same time for different date","return same time for different date",""
"passed","Thu Jan 20 01:08:23 GMT 2022","Thu Jan 20 01:08:23 GMT 2022","9","","EmailListItem","","EmailListItem","render simple email","render simple email",""
"passed","Thu Jan 20 01:14:17 GMT 2022","Thu Jan 20 01:14:17 GMT 2022","558","","e2e/authentication.spec.js","Registration","","","registered user can sign in",""
"passed","Thu Jan 20 01:16:21 GMT 2022","Thu Jan 20 01:16:34 GMT 2022","13121","","com.example.PostTest","","com.example.PostTest","nonEmptyMailBox","Login in to non-empty mailbox",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","2","","LoginPage","","LoginPage","correct authentication via sign in form","correct authentication via sign in form",""
"passed","Thu Jan 20 01:16:34 GMT 2022","Thu Jan 20 01:16:36 GMT 2022","1566","","com.example.PostTest","","com.example.PostTest","emptyNewUser","New user has empty mailboxes",""
"passed","Thu Jan 20 01:16:16 GMT 2022","Thu Jan 20 01:16:17 GMT 2022","708","","com.example.AuthenticationTest","","com.example.AuthenticationTest","registerUnknownUser","New user could register",""
"passed","Thu Jan 20 01:14:17 GMT 2022","Thu Jan 20 01:14:18 GMT 2022","538","","e2e/authentication.spec.js","Registration","","","registered user uses wrong password",""
"passed","Thu Jan 20 01:14:11 GMT 2022","Thu Jan 20 01:14:16 GMT 2022","5481","","e2e/app.spec.js","","","","Login to non-empty mailbox",""
"passed","Thu Jan 20 01:14:16 GMT 2022","Thu Jan 20 01:14:16 GMT 2022","360","","e2e/authentication.spec.js","Registration","","","unknown user can not sign in",""
"passed","Thu Jan 20 01:08:23 GMT 2022","Thu Jan 20 01:08:23 GMT 2022","1","","EmailListItem","","EmailListItem","rendering selected email","rendering selected email",""
"passed","Thu Jan 20 01:14:18 GMT 2022","Thu Jan 20 01:14:18 GMT 2022","536","","e2e/authentication.spec.js","Registration","","","user can not sign up twice",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","0","","toInternalEmail","","toInternalEmail","return sent email","return sent email",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","1","","LoginPage","","LoginPage","failed Sign in via form","failed Sign in via form",""
"passed","Thu Jan 20 01:08:23 GMT 2022","Thu Jan 20 01:08:23 GMT 2022","1","","EmailList","","EmailList","empty list","empty list",""
"passed","Thu Jan 20 01:10:38 GMT 2022","Thu Jan 20 01:10:39 GMT 2022","45","","com.example.server.controller.AuthenticationControllerTest","","com.example.server.controller.AuthenticationControllerTest","testRegister","Signing up with same credentials twice",""
"passed","Thu Jan 20 01:16:19 GMT 2022","Thu Jan 20 01:16:21 GMT 2022","2538","","com.example.PostTest","","com.example.PostTest","newUserSendsEmail","New user sends email",""
"passed","Thu Jan 20 01:10:38 GMT 2022","Thu Jan 20 01:10:38 GMT 2022","694","","com.example.server.controller.AuthenticationControllerTest","","com.example.server.controller.AuthenticationControllerTest","testLogin","Signing in with correct and incorrect credentials",""
"passed","Thu Jan 20 01:09:57 GMT 2022","Thu Jan 20 01:09:57 GMT 2022","176","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testGettingInbox","Getting inbox",""
"passed","Thu Jan 20 01:14:09 GMT 2022","Thu Jan 20 01:14:09 GMT 2022","660","","e2e/app.spec.js","","","","Empty new user",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","17","","App","","App","initial render","initial render",""
"passed","Thu Jan 20 01:16:13 GMT 2022","Thu Jan 20 01:16:15 GMT 2022","1587","","com.example.AuthenticationTest","","com.example.AuthenticationTest","wrongPasswordLogin","Registered user can't use wrong password",""
"passed","Thu Jan 20 01:08:22 GMT 2022","Thu Jan 20 01:08:22 GMT 2022","1","","getEmailTime","","getEmailTime","return hours with leading zeros","return hours with leading zeros",""
"passed","Thu Jan 20 01:10:20 GMT 2022","Thu Jan 20 01:10:22 GMT 2022","2359","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testLoginAfterRegistration","Login after registration",""
