"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 20 00:58:14 GMT 2022","Thu Jan 20 00:58:16 GMT 2022","1886","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testRegistrationWithSameLogin","Registration with existing login",""
"passed","Thu Jan 20 01:02:56 GMT 2022","Thu Jan 20 01:02:56 GMT 2022","642","","e2e/authentication.spec.js","Registration","","","user can not sign up twice",""
"passed","Thu Jan 20 00:57:54 GMT 2022","Thu Jan 20 00:57:54 GMT 2022","4","","MailboxList","","MailboxList","selecting mailbox","selecting mailbox",""
"passed","Thu Jan 20 01:04:13 GMT 2022","Thu Jan 20 01:04:20 GMT 2022","6588","","com.example.AuthenticationTest","","com.example.AuthenticationTest","unknownUserLogin","Unknown user login",""
"passed","Thu Jan 20 00:57:54 GMT 2022","Thu Jan 20 00:57:54 GMT 2022","4","","Main window","","Main window","successful login","successful login",""
"passed","Thu Jan 20 01:02:54 GMT 2022","Thu Jan 20 01:02:54 GMT 2022","505","","e2e/authentication.spec.js","Registration","","","new user can sign up",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","0","","getEmailTime","","getEmailTime","return same time for different date","return same time for different date",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","1","","getEmailDate","","getEmailDate","return same date for different time","return same date for different time",""
"passed","Thu Jan 20 00:58:18 GMT 2022","Thu Jan 20 00:58:20 GMT 2022","1839","","com.example.server.repo.PostgresPostRepoIntegrationTest","","com.example.server.repo.PostgresPostRepoIntegrationTest","testGettingMailboxes","Getting mailboxes","Getting inbox and sent mailboxes for 2 user, that sent each other emails"
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","0","","getEmailDate","","getEmailDate","return month with leading zeros","return month with leading zeros",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","6","","EmailEditor","","EmailEditor","display correct data","display correct data",""
"passed","Thu Jan 20 01:04:26 GMT 2022","Thu Jan 20 01:04:38 GMT 2022","11201","","com.example.PostTest","","com.example.PostTest","nonEmptyMailBox","Login in to non-empty mailbox",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","1","","getEmailTime","","getEmailTime","return hours with leading zeros","return hours with leading zeros",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","3","","LoginPage","","LoginPage","correct credentials display","correct credentials display",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","2","","EmailListItem","","EmailListItem","clicking on email","clicking on email",""
"passed","Thu Jan 20 01:02:41 GMT 2022","Thu Jan 20 01:02:45 GMT 2022","3674","","e2e/a11y.spec.js","A11y","","","Login page",""
"passed","Thu Jan 20 00:57:56 GMT 2022","Thu Jan 20 00:58:11 GMT 2022","14902","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testLoginWithWrongPassword","Login with wrong password",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","1","","getEmailDate","","getEmailDate","return date with leafing zeros","return date with leafing zeros",""
"passed","Thu Jan 20 01:04:23 GMT 2022","Thu Jan 20 01:04:24 GMT 2022","1174","","com.example.AuthenticationTest","","com.example.AuthenticationTest","newUserLogin","Registered user can login",""
"passed","Thu Jan 20 00:58:28 GMT 2022","Thu Jan 20 00:58:28 GMT 2022","92","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testGettingSent","Getting sent",""
"passed","Thu Jan 20 00:58:22 GMT 2022","Thu Jan 20 00:58:22 GMT 2022","42","","com.example.server.repo.PostgresAuthenticationRepoTest","","com.example.server.repo.PostgresAuthenticationRepoTest","testLogin","Signing in with correct and incorrect credentials",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","3","","LoginPage","","LoginPage","correct authentication via sign in form","correct authentication via sign in form",""
"passed","Thu Jan 20 00:58:27 GMT 2022","Thu Jan 20 00:58:27 GMT 2022","11","","com.example.server.service.DBAuthenticationServiceTest","","com.example.server.service.DBAuthenticationServiceTest","testLogin","Signing in with correct and incorrect credentials",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","4","","EmailEditor","","EmailEditor","correctly sending email","correctly sending email",""
"passed","Thu Jan 20 00:58:20 GMT 2022","Thu Jan 20 00:58:22 GMT 2022","1859","","com.example.server.repo.PostgresPostRepoIntegrationTest","","com.example.server.repo.PostgresPostRepoIntegrationTest","testSendingEmail","Sending single email","Sending single email and checking its presence in database"
"passed","Thu Jan 20 00:58:28 GMT 2022","Thu Jan 20 00:58:28 GMT 2022","5","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testGettingInbox","Getting inbox",""
"passed","Thu Jan 20 00:57:54 GMT 2022","Thu Jan 20 00:57:54 GMT 2022","2","","EmailList","","EmailList","empty list","empty list",""
"passed","Thu Jan 20 01:02:48 GMT 2022","Thu Jan 20 01:02:54 GMT 2022","5717","","e2e/app.spec.js","","","","Login to non-empty mailbox",""
"passed","Thu Jan 20 00:57:56 GMT 2022","Thu Jan 20 00:57:56 GMT 2022","37","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testSendingEmail","Sending single email",""
"passed","Thu Jan 20 01:04:21 GMT 2022","Thu Jan 20 01:04:23 GMT 2022","1410","","com.example.AuthenticationTest","","com.example.AuthenticationTest","userRegistersTwice","User can't register twice",""
"passed","Thu Jan 20 01:04:24 GMT 2022","Thu Jan 20 01:04:26 GMT 2022","2028","","com.example.PostTest","","com.example.PostTest","newUserSendsEmail","New user sends email",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","8","","App","","App","opening editor","opening editor",""
"passed","Thu Jan 20 00:58:11 GMT 2022","Thu Jan 20 00:58:13 GMT 2022","2003","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testRegistration","Registration new user",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","0","","getEmailTime","","getEmailTime","return minutes with leading zeros","return minutes with leading zeros",""
"passed","Thu Jan 20 01:02:46 GMT 2022","Thu Jan 20 01:02:47 GMT 2022","655","","e2e/app.spec.js","","","","Empty new user",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:53 GMT 2022","9","","App","","App","updating mailboxes after write","updating mailboxes after write",""
"passed","Thu Jan 20 00:57:54 GMT 2022","Thu Jan 20 00:57:54 GMT 2022","2","","EmailDetails","","EmailDetails","no email","no email",""
"passed","Thu Jan 20 00:57:56 GMT 2022","Thu Jan 20 00:57:56 GMT 2022","137","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testGettingInbox","Getting inbox",""
"passed","Thu Jan 20 00:57:53 GMT 2022","Thu Jan 20 00:57:55 GMT 2022","2071","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testGettingSent","Getting sent",""
